STATION_NUMBER,STATION_NAME,LATITUDE,LONGITUDE,TYPE
08GA010,CAPILANO RIVER ABOVE INTAKE,49.39624,-123.14584,STREAMFLOW
08GA022,SQUAMISH RIVER NEAR BRACKENDALE,49.79502,-123.20316,STREAMFLOW
08GA043,CHEAKAMUS RIVER NEAR BRACKENDALE,49.81603,-123.15008,STREAMFLOW
08GA047,ROBERTS CREEK AT ROBERTS CREEK,49.42083,-123.64022,STREAMFLOW
08GA061,MACKAY CREEK AT MONTROYAL BOULEVARD,49.35616,-123.09986,STREAMFLOW
08GA072,CHEAKAMUS RIVER ABOVE MILLAR CREEK,50.07991,-123.03562,STREAMFLOW
08MF005,FRASER RIVER AT HOPE,49.38596,-121.45424,STREAMFLOW
08MF062,COQUIHALLA RIVER BELOW NEEDLE CREEK,49.54189,-121.11997,STREAMFLOW
08MG005,LILLOOET RIVER NEAR PEMBERTON,50.33602,-122.80025,STREAMFLOW
08MH001,CHILLIWACK RIVER AT VEDDER CROSSING,49.09738,-121.96748,STREAMFLOW
08MH002,COQUITLAM RIVER AT PORT COQUITLAM,49.26524,-122.7815,STREAMFLOW
08MH005,ALOUETTE RIVER NEAR HANEY,49.239,-122.57975,STREAMFLOW
08MH056,SLESSE CREEK NEAR VEDDER CROSSING,49.07172,-121.69975,STREAMFLOW
08MH076,KANAKA CREEK NEAR WEBSTER CORNERS,49.20709,-122.53661,STREAMFLOW
08MH103,CHILLIWACK RIVER ABOVE SLESSE CREEK,49.10172,-121.663,STREAMFLOW
08MH141,COQUITLAM RIVER ABOVE COQUITLAM LAKE,49.48794,-122.79251,STREAMFLOW
08NL071,TULAMEEN RIVER BELOW VUICH CREEK,49.46568,-120.97891,STREAMFLOW
08GA030,SEYMOUR RIVER NEAR NORTH VANCOUVER,49.34197998,-123.002121,STREAMFLOW
08MG001,CHEHALIS RIVER NEAR HARRISON MILLS,49.30002975,-121.937767,STREAMFLOW
08MH006,"NORTH ALOUETTE RIVER AT 232ND STREET, MAPLE RIDGE",49.24264908,-122.5801773,STREAMFLOW
08MH016,CHILLIWACK RIVER AT OUTLET OF CHILLIWACK LAKE,49.08364868,-121.4584427,STREAMFLOW
08MH029,SUMAS RIVER NEAR HUNTINGDON,49.002491,-122.2322998,STREAMFLOW
08MH090,"SALMON RIVER AT 72 AVENUE, LANGLEY",49.13354111,-122.5964279,STREAMFLOW
08MH098,WEST CREEK NEAR FORT LANGLEY,49.14767075,-122.531868,STREAMFLOW
776,HANEY UBC RF ADMIN,49.26,-122.57,CLIMATE
810,MISSION WEST ABBEY,49.15,-122.27,CLIMATE
698,N VAN SEYMOUR HATCHERY,49.44,-122.97,CLIMATE
834,PORT MOODY GLENAYRE,49.28,-122.88,CLIMATE
750,COQUITLAM COMO LAKE AVE,49.27,-122.87,CLIMATE
870,SUMAS CANAL,49.11,-122.11,CLIMATE
731,BURNABY SIMON FRASER U,49.28,-122.92,CLIMATE
707,AGASSIZ CDA,49.24,-121.76,CLIMATE
747,CLOVERDALE EAST,49.11,-122.7,CLIMATE
794,LAIDLAW,49.36,-121.58,CLIMATE
823,N VANC GROUSE MTN RESORT,49.38,-123.08,CLIMATE
833,N VANCOUVER WHARVES,49.31,-123.12,CLIMATE
888,VANCOUVER HARBOUR CS,49.3,-123.12,CLIMATE
336,SQUAMISH AIRPORT,49.78,-123.16,CLIMATE
925,WHITE ROCK CAMPBELL SCIENTIFIC,49.02,-122.78,CLIMATE
853,RICHMOND DALLYN 2,49.18,-123.09,CLIMATE
716,CHILLIWACK R HATCHERY,49.08,-121.7,CLIMATE
837,RICHMOND NATURE PARK,49.17,-123.09,CLIMATE
844,POINT ATKINSON,49.33,-123.26,CLIMATE
924,WHISTLER ROUNDHOUSE,50.07,-122.95,CLIMATE
348,WHISTLER,50.13,-122.95,CLIMATE
766,DELTA TSAWWASSEN BEACH,49.01,-123.09,CLIMATE
951,HOPE SLIDE,49.27,-121.23,CLIMATE
309,GIBSONS GOWER POINT,49.39,-123.54,CLIMATE
